From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),AT (degree C)
2022-08-24 09:00:00,36.37,70.82,8.94,16.48,25.42,27.77503817202344,12.562969638194955,1.55,21.03,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-24 10:00:00,21.73,63.05,8.47,16.23,24.7,27.77503817202344,12.562969638194955,1.52,55.34,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-24 11:00:00,33.85,57.49,8.01,16.21,24.23,27.77503817202344,12.562969638194955,1.5,47.24,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-24 12:00:00,24.7,51.82,7.72,16.33,24.05,27.77503817202344,12.562969638194955,1.5,39.08,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-24 13:00:00,28.51,57.46,7.59,16.28,23.87,27.77503817202344,12.562969638194955,1.5,41.22,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-24 14:00:00,32.7,55.42,7.68,16.4,24.08,27.77503817202344,12.562969638194955,1.48,40.57,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-24 15:00:00,37.63,74.04,7.74,16.59,24.33,27.77503817202344,12.562969638194955,1.51,41.07,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-24 16:00:00,32.24,61.32,7.58,17.14,24.72,27.77503817202344,12.562969638194955,1.51,31.54,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-25 08:00:00,,,,,,27.77503817202344,12.562969638194955,,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-25 09:00:00,,,,,,27.77503817202344,12.562969638194955,,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-25 10:00:00,,,,,,27.77503817202344,12.562969638194955,,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-25 11:00:00,,,,,,27.77503817202344,12.562969638194955,,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-25 12:00:00,,,,,,27.77503817202344,12.562969638194955,,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-25 13:00:00,,,,,,27.77503817202344,12.562969638194955,,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-25 14:00:00,,,,,,27.77503817202344,12.562969638194955,,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-25 15:00:00,,,,,,27.77503817202344,12.562969638194955,,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-25 16:00:00,,,,,,27.77503817202344,12.562969638194955,,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-26 08:00:00,,,,,,27.77503817202344,12.562969638194955,,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-26 09:00:00,,,,,,27.77503817202344,12.562969638194955,,,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-26 10:00:00,28.9,98.58,5.36,16.34,21.7,27.77503817202344,12.562969638194955,1.38,66.28,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-26 11:00:00,50.42,94.08,5.65,15.87,21.52,27.77503817202344,12.562969638194955,1.4,56.84,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-26 12:00:00,86.72,92.95,5.7,15.75,21.45,27.77503817202344,12.562969638194955,1.39,86.57,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-26 13:00:00,132.98,120.44,6.0,15.78,21.78,27.77503817202344,12.562969638194955,1.39,2.18,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-26 14:00:00,135.65,128.51,6.27,17.6,23.86,27.77503817202344,12.562969638194955,1.41,18.13,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-26 15:00:00,101.35,131.51,6.28,17.99,24.27,27.77503817202344,12.562969638194955,1.44,92.26,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-26 16:00:00,47.49,107.24,6.21,16.06,22.27,27.77503817202344,12.562969638194955,1.41,124.15,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-27 08:00:00,19.96,87.72,7.58,16.58,24.16,27.77503817202344,12.562969638194955,1.45,148.99,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-27 09:00:00,34.81,91.27,7.42,16.3,23.72,27.77503817202344,12.562969638194955,1.43,147.93,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-27 10:00:00,38.54,115.23,7.29,15.38,22.67,27.77503817202344,12.562969638194955,1.43,147.79,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-27 11:00:00,34.17,108.88,6.96,15.2,22.15,27.77503817202344,12.562969638194955,1.43,147.31,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-27 12:00:00,37.74,92.43,6.88,15.18,22.06,27.77503817202344,12.562969638194955,1.43,147.23,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-27 13:00:00,43.91,97.37,6.85,15.23,22.08,27.77503817202344,12.562969638194955,1.44,147.51,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-27 14:00:00,39.49,88.89,6.87,15.26,22.13,27.77503817202344,12.562969638194955,1.44,147.16,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-27 15:00:00,39.63,76.82,6.9,15.19,22.09,27.77503817202344,12.562969638194955,1.44,147.62,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-27 16:00:00,22.35,82.55,6.88,15.34,22.21,27.77503817202344,12.562969638194955,1.44,146.41,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-28 08:00:00,26.52,115.13,6.9,15.3,22.2,27.77503817202344,12.562969638194955,1.41,138.59,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-28 09:00:00,35.14,124.94,6.76,15.22,21.97,27.77503817202344,12.562969638194955,1.4,138.09,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-28 10:00:00,42.73,144.0,6.67,15.32,21.99,27.77503817202344,12.562969638194955,1.41,137.72,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-28 11:00:00,34.85,136.96,6.61,15.37,21.98,27.77503817202344,12.562969638194955,1.42,137.72,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-28 12:00:00,44.84,143.21,6.54,15.32,21.86,27.77503817202344,12.562969638194955,1.44,139.06,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-28 13:00:00,41.84,128.69,6.51,15.14,21.66,27.77503817202344,12.562969638194955,1.42,138.74,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-28 14:00:00,38.71,132.43,6.47,15.15,21.63,27.77503817202344,12.562969638194955,1.43,139.58,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-28 15:00:00,40.98,126.24,6.48,15.44,21.92,27.77503817202344,12.562969638194955,1.42,140.16,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-28 16:00:00,28.6,112.92,6.47,15.27,21.74,27.77503817202344,12.562969638194955,1.44,139.46,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-29 08:00:00,29.73,134.06,7.01,16.89,23.9,27.77503817202344,12.562969638194955,1.48,130.87,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-29 09:00:00,36.96,133.34,6.61,15.84,22.44,27.77503817202344,12.562969638194955,1.45,131.74,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-29 10:00:00,42.8,139.39,6.44,15.92,22.37,27.77503817202344,12.562969638194955,1.46,133.3,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-29 11:00:00,40.68,133.92,6.32,15.98,22.29,27.77503817202344,12.562969638194955,1.44,133.1,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-29 12:00:00,39.87,136.95,6.17,16.05,22.23,27.77503817202344,12.562969638194955,1.46,134.07,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-29 13:00:00,44.35,144.57,5.91,16.17,22.09,27.77503817202344,12.562969638194955,1.45,135.04,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-29 14:00:00,40.64,134.35,5.83,16.38,22.21,27.77503817202344,12.562969638194955,1.47,130.76,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-29 15:00:00,62.64,158.2,5.69,16.93,22.63,27.77503817202344,12.562969638194955,1.49,129.21,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-29 16:00:00,45.12,164.26,5.68,17.33,23.0,27.77503817202344,12.562969638194955,1.51,133.49,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-30 08:00:00,39.9,102.18,12.58,20.26,32.84,27.77503817202344,12.562969638194955,1.69,130.6,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-30 09:00:00,60.58,137.5,10.96,19.75,30.71,27.77503817202344,12.562969638194955,1.7,130.12,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-30 10:00:00,57.11,143.77,10.15,17.84,27.99,27.77503817202344,12.562969638194955,1.58,131.21,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
